id,studentId,studentName,date,status,reason
ATT000001,STU001,Meera Verma,2025-01-01,Present,
ATT000002,STU001,Meera Verma,2025-01-02,Absent,Family emergency
ATT000003,STU001,Meera Verma,2025-01-03,Late,Weather
ATT000004,STU001,Meera Verma,2025-01-06,Absent,No reason provided
ATT000005,STU001,Meera Verma,2025-01-07,Late,Weather
ATT000006,STU001,Meera Verma,2025-01-08,Present,
ATT000007,STU001,Meera Verma,2025-01-09,Absent,No reason provided
ATT000008,STU001,Meera Verma,2025-01-10,Present,
ATT000009,STU001,Meera Verma,2025-01-13,Present,
ATT000010,STU001,Meera Verma,2025-01-14,Late,Weather
ATT000011,STU001,Meera Verma,2025-01-15,Present,
ATT000012,STU001,Meera Verma,2025-01-16,Present,
ATT000013,STU001,Meera Verma,2025-01-17,Present,
ATT000014,STU001,Meera Verma,2025-01-20,Present,
ATT000015,STU001,Meera Verma,2025-01-21,Present,
ATT000016,STU001,Meera Verma,2025-01-22,Present,
ATT000017,STU001,Meera Verma,2025-01-23,Present,
ATT000018,STU001,Meera Verma,2025-01-24,Late,Weather
ATT000019,STU001,Meera Verma,2025-01-27,Present,
ATT000020,STU001,Meera Verma,2025-01-28,Present,
ATT000021,STU001,Meera Verma,2025-01-29,Present,
ATT000022,STU001,Meera Verma,2025-01-30,Present,
ATT000023,STU001,Meera Verma,2025-01-31,Present,
ATT000024,STU001,Meera Verma,2025-02-03,Present,
ATT000025,STU001,Meera Verma,2025-02-04,Present,
ATT000026,STU001,Meera Verma,2025-02-05,Present,
ATT000027,STU001,Meera Verma,2025-02-06,Absent,Family emergency
ATT000028,STU001,Meera Verma,2025-02-07,Present,
ATT000029,STU001,Meera Verma,2025-02-10,Present,
ATT000030,STU001,Meera Verma,2025-02-11,Late,Family issue
ATT000031,STU001,Meera Verma,2025-02-12,Present,
ATT000032,STU001,Meera Verma,2025-02-13,Present,
ATT000033,STU001,Meera Verma,2025-02-14,Present,
ATT000034,STU001,Meera Verma,2025-02-17,Present,
ATT000035,STU001,Meera Verma,2025-02-18,Present,
ATT000036,STU001,Meera Verma,2025-02-19,Present,
ATT000037,STU001,Meera Verma,2025-02-20,Late,Overslept
ATT000038,STU001,Meera Verma,2025-02-21,Present,
ATT000039,STU001,Meera Verma,2025-02-24,Present,
ATT000040,STU001,Meera Verma,2025-02-25,Present,
ATT000041,STU001,Meera Verma,2025-02-26,Present,
ATT000042,STU001,Meera Verma,2025-02-27,Present,
ATT000043,STU001,Meera Verma,2025-02-28,Late,Transportation delay
ATT000044,STU001,Meera Verma,2025-03-03,Present,
ATT000045,STU001,Meera Verma,2025-03-04,Absent,Transportation issue
ATT000046,STU001,Meera Verma,2025-03-05,Absent,No reason provided
ATT000047,STU001,Meera Verma,2025-03-06,Present,
ATT000048,STU001,Meera Verma,2025-03-07,Late,Family issue
ATT000049,STU001,Meera Verma,2025-03-10,Present,
ATT000050,STU001,Meera Verma,2025-03-11,Present,
ATT000051,STU001,Meera Verma,2025-03-12,Present,
ATT000052,STU001,Meera Verma,2025-03-13,Absent,Family emergency
ATT000053,STU001,Meera Verma,2025-03-14,Present,
ATT000054,STU001,Meera Verma,2025-03-17,Present,
ATT000055,STU001,Meera Verma,2025-03-18,Present,
ATT000056,STU001,Meera Verma,2025-03-19,Present,
ATT000057,STU001,Meera Verma,2025-03-20,Present,
ATT000058,STU001,Meera Verma,2025-03-21,Present,
ATT000059,STU001,Meera Verma,2025-03-24,Present,
ATT000060,STU001,Meera Verma,2025-03-25,Present,
ATT000061,STU001,Meera Verma,2025-03-26,Present,
ATT000062,STU001,Meera Verma,2025-03-27,Present,
ATT000063,STU001,Meera Verma,2025-03-28,Present,
ATT000064,STU001,Meera Verma,2025-03-31,Present,
ATT000065,STU001,Meera Verma,2025-04-01,Present,
ATT000066,STU001,Meera Verma,2025-04-02,Present,
ATT000067,STU001,Meera Verma,2025-04-03,Present,
ATT000068,STU001,Meera Verma,2025-04-04,Present,
ATT000069,STU001,Meera Verma,2025-04-07,Present,
ATT000070,STU001,Meera Verma,2025-04-08,Present,
ATT000071,STU001,Meera Verma,2025-04-09,Present,
ATT000072,STU001,Meera Verma,2025-04-10,Present,
ATT000073,STU001,Meera Verma,2025-04-11,Present,
ATT000074,STU001,Meera Verma,2025-04-14,Present,
ATT000075,STU001,Meera Verma,2025-04-15,Present,
ATT000076,STU001,Meera Verma,2025-04-16,Present,
ATT000077,STU001,Meera Verma,2025-04-17,Present,
ATT000078,STU001,Meera Verma,2025-04-18,Present,
ATT000079,STU001,Meera Verma,2025-04-21,Absent,Transportation issue
ATT000080,STU001,Meera Verma,2025-04-22,Present,
ATT000081,STU001,Meera Verma,2025-04-23,Present,
ATT000082,STU001,Meera Verma,2025-04-24,Present,
ATT000083,STU001,Meera Verma,2025-04-25,Present,
ATT000084,STU001,Meera Verma,2025-04-28,Absent,Transportation issue
ATT000085,STU001,Meera Verma,2025-04-29,Present,
ATT000086,STU001,Meera Verma,2025-04-30,Present,
ATT000087,STU001,Meera Verma,2025-05-01,Present,
ATT000088,STU001,Meera Verma,2025-05-02,Absent,Family emergency
ATT000089,STU001,Meera Verma,2025-05-05,Present,
ATT000090,STU001,Meera Verma,2025-05-06,Present,
ATT000091,STU001,Meera Verma,2025-05-07,Present,
ATT000092,STU001,Meera Verma,2025-05-08,Absent,No reason provided
ATT000093,STU001,Meera Verma,2025-05-09,Present,
ATT000094,STU001,Meera Verma,2025-05-12,Present,
ATT000095,STU001,Meera Verma,2025-05-13,Present,
ATT000096,STU001,Meera Verma,2025-05-14,Present,
ATT000097,STU001,Meera Verma,2025-05-15,Present,
ATT000098,STU001,Meera Verma,2025-05-16,Absent,Sick
ATT000099,STU001,Meera Verma,2025-05-19,Present,
ATT000100,STU001,Meera Verma,2025-05-20,Present,
ATT000101,STU001,Meera Verma,2025-05-21,Present,
ATT000102,STU001,Meera Verma,2025-05-22,Present,
ATT000103,STU001,Meera Verma,2025-05-23,Present,
ATT000104,STU001,Meera Verma,2025-05-26,Present,
ATT000105,STU001,Meera Verma,2025-05-27,Absent,Family emergency
ATT000106,STU001,Meera Verma,2025-05-28,Present,
ATT000107,STU001,Meera Verma,2025-05-29,Present,
ATT000108,STU001,Meera Verma,2025-05-30,Present,
ATT000109,STU001,Meera Verma,2025-06-02,Present,
ATT000110,STU001,Meera Verma,2025-06-03,Late,Overslept
ATT000111,STU001,Meera Verma,2025-06-04,Late,Family issue
ATT000112,STU001,Meera Verma,2025-06-05,Present,
ATT000113,STU001,Meera Verma,2025-06-06,Present,
ATT000114,STU001,Meera Verma,2025-06-09,Present,
ATT000115,STU001,Meera Verma,2025-06-10,Present,
ATT000116,STU001,Meera Verma,2025-06-11,Present,
ATT000117,STU001,Meera Verma,2025-06-12,Present,
ATT000118,STU001,Meera Verma,2025-06-13,Late,Overslept
ATT000119,STU001,Meera Verma,2025-06-16,Present,
ATT000120,STU001,Meera Verma,2025-06-17,Present,
ATT000121,STU001,Meera Verma,2025-06-18,Present,
ATT000122,STU001,Meera Verma,2025-06-19,Present,
ATT000123,STU001,Meera Verma,2025-06-20,Present,
ATT000124,STU001,Meera Verma,2025-06-23,Present,
ATT000125,STU001,Meera Verma,2025-06-24,Absent,Family emergency
ATT000126,STU001,Meera Verma,2025-06-25,Present,
ATT000127,STU001,Meera Verma,2025-06-26,Present,
ATT000128,STU001,Meera Verma,2025-06-27,Present,
ATT000129,STU001,Meera Verma,2025-06-30,Present,
ATT000130,STU001,Meera Verma,2025-07-01,Present,
ATT000131,STU001,Meera Verma,2025-07-02,Absent,Family emergency
ATT000132,STU001,Meera Verma,2025-07-03,Present,
ATT000133,STU001,Meera Verma,2025-07-04,Absent,No reason provided
ATT000134,STU001,Meera Verma,2025-07-07,Absent,Sick
ATT000135,STU001,Meera Verma,2025-07-08,Present,
ATT000136,STU001,Meera Verma,2025-07-09,Present,
ATT000137,STU001,Meera Verma,2025-07-10,Present,
ATT000138,STU001,Meera Verma,2025-07-11,Late,Weather
ATT000139,STU001,Meera Verma,2025-07-14,Present,
ATT000140,STU001,Meera Verma,2025-07-15,Present,
ATT000141,STU001,Meera Verma,2025-07-16,Present,
ATT000142,STU001,Meera Verma,2025-07-17,Late,Family issue
ATT000143,STU001,Meera Verma,2025-07-18,Present,
ATT000144,STU001,Meera Verma,2025-07-21,Present,
ATT000145,STU001,Meera Verma,2025-07-22,Present,
ATT000146,STU001,Meera Verma,2025-07-23,Absent,Sick
ATT000147,STU001,Meera Verma,2025-07-24,Present,
ATT000148,STU001,Meera Verma,2025-07-25,Present,
ATT000149,STU001,Meera Verma,2025-07-28,Present,
ATT000150,STU001,Meera Verma,2025-07-29,Present,
ATT000151,STU001,Meera Verma,2025-07-30,Present,
