id,studentId,studentName,title,description,subject,assignedDate,dueDate,submittedDate,status,remark
HW000001,STU002,Deepak Iyer,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000002,STU003,Rohit Kapoor,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000003,STU004,Nikhil Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000004,STU005,Abhishek Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000005,STU006,Arjun Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000006,STU007,Manish Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000007,STU008,Aishwarya Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000008,STU009,Amit Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000009,STU010,Sakshi Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000010,STU011,Neha Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000011,STU012,Sneha Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000012,STU013,Sagar Rao,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000013,STU014,Anjali Tiwari,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000014,STU015,Ananya Verma,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000015,STU016,Abhishek Reddy,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,,assigned,Assigned
HW000016,STU017,Tanvi Nair,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000017,STU018,Kritika Patel,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,,assigned,Assigned
HW000018,STU019,Pooja Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000019,STU020,Ravi Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000020,STU021,Aishwarya Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000021,STU022,Meera Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-01,2025-01-03,,assigned,Assigned
HW000022,STU023,Amit Kumar,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,,assigned,Assigned
HW000023,STU024,Manish Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,2025-01-01,submitted,Completed on time
HW000024,STU027,Aishwarya Arora,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000025,STU031,Swati Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000026,STU033,Arjun Patel,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-01,2025-01-03,,pending,Not submitted yet
HW000027,STU034,Sagar Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-01,2025-01-03,,assigned,Assigned
HW000028,STU035,Divya Rao,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-01,2025-01-03,2025-01-02,submitted,Completed on time
HW000029,STU001,Meera Verma,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000030,STU002,Deepak Iyer,Mathematics Assignment,Complete the mathematics exercises from chapter 2,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000031,STU003,Rohit Kapoor,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000032,STU005,Abhishek Joshi,Mathematics Assignment,Complete the mathematics exercises from chapter 1,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000033,STU008,Aishwarya Joshi,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,,assigned,Assigned
HW000034,STU009,Amit Bansal,Mathematics Assignment,Complete the mathematics exercises from chapter 4,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000035,STU010,Sakshi Mehta,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000036,STU013,Sagar Rao,Mathematics Assignment,Complete the mathematics exercises from chapter 2,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000037,STU015,Ananya Verma,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000038,STU016,Abhishek Reddy,Mathematics Assignment,Complete the mathematics exercises from chapter 4,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000039,STU017,Tanvi Nair,Mathematics Assignment,Complete the mathematics exercises from chapter 2,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000040,STU018,Kritika Patel,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000041,STU020,Ravi Sharma,Mathematics Assignment,Complete the mathematics exercises from chapter 4,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000042,STU021,Aishwarya Bansal,Mathematics Assignment,Complete the mathematics exercises from chapter 4,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000043,STU022,Meera Sharma,Mathematics Assignment,Complete the mathematics exercises from chapter 1,Mathematics,2025-01-03,2025-01-05,,assigned,Assigned
HW000044,STU023,Amit Kumar,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000045,STU024,Manish Joshi,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000046,STU026,Harsh Arora,Mathematics Assignment,Complete the mathematics exercises from chapter 4,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000047,STU027,Aishwarya Arora,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000048,STU028,Jyoti Saxena,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,,assigned,Assigned
HW000049,STU031,Swati Bansal,Mathematics Assignment,Complete the mathematics exercises from chapter 2,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000050,STU032,Aditya Rao,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-03,2025-01-05,2025-01-04,submitted,Completed on time
HW000051,STU034,Sagar Mishra,Mathematics Assignment,Complete the mathematics exercises from chapter 1,Mathematics,2025-01-03,2025-01-05,,pending,Not submitted yet
HW000052,STU035,Divya Rao,Mathematics Assignment,Complete the mathematics exercises from chapter 1,Mathematics,2025-01-03,2025-01-05,2025-01-03,submitted,Completed on time
HW000053,STU003,Rohit Kapoor,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000054,STU004,Nikhil Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000055,STU005,Abhishek Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000056,STU006,Arjun Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000057,STU007,Manish Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000058,STU008,Aishwarya Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000059,STU009,Amit Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000060,STU010,Sakshi Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000061,STU011,Neha Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000062,STU012,Sneha Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000063,STU015,Ananya Verma,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000064,STU016,Abhishek Reddy,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000065,STU017,Tanvi Nair,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-07,2025-01-09,,assigned,Assigned
HW000066,STU019,Pooja Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000067,STU020,Ravi Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000068,STU022,Meera Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000069,STU023,Amit Kumar,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000070,STU024,Manish Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000071,STU026,Harsh Arora,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,,pending,Not submitted yet
HW000072,STU027,Aishwarya Arora,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000073,STU028,Jyoti Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000074,STU031,Swati Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-07,2025-01-09,2025-01-07,submitted,Completed on time
HW000075,STU032,Aditya Rao,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000076,STU033,Arjun Patel,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-07,2025-01-09,,assigned,Assigned
HW000077,STU035,Divya Rao,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-07,2025-01-09,2025-01-08,submitted,Completed on time
HW000078,STU001,Meera Verma,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000079,STU003,Rohit Kapoor,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000080,STU004,Nikhil Saxena,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-09,2025-01-11,,assigned,Assigned
HW000081,STU005,Abhishek Joshi,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000082,STU007,Manish Mehta,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000083,STU008,Aishwarya Joshi,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000084,STU010,Sakshi Mehta,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000085,STU011,Neha Mishra,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000086,STU012,Sneha Mehta,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000087,STU013,Sagar Rao,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000088,STU014,Anjali Tiwari,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000089,STU015,Ananya Verma,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000090,STU016,Abhishek Reddy,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000091,STU017,Tanvi Nair,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000092,STU019,Pooja Mehta,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000093,STU020,Ravi Sharma,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000094,STU021,Aishwarya Bansal,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000095,STU022,Meera Sharma,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000096,STU024,Manish Joshi,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000097,STU026,Harsh Arora,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000098,STU027,Aishwarya Arora,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,,assigned,Assigned
HW000099,STU028,Jyoti Saxena,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000100,STU029,Pooja Joshi,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000101,STU030,Rahul Goyal,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-10,submitted,Completed on time
HW000102,STU031,Swati Bansal,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,,pending,Not submitted yet
HW000103,STU032,Aditya Rao,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
